rho,avail,ccrR_incident,ccr_incident,ccrR_net,ccr_net,net_gain,a_star
0.1000,0.0000,0.9310,0.9310,-1.2039,-0.7792,-0.4247,0.1767
0.1000,0.1000,0.9310,0.9310,-1.2039,-0.7792,-0.4247,0.1767
0.1000,0.2500,0.7305,0.9310,-0.3732,-0.7792,0.4060,0.1767
0.1000,0.5000,0.5326,0.9310,0.3299,-0.7792,1.1091,0.1767
0.1000,0.7500,0.2969,0.9310,1.2870,-0.7792,2.0662,0.1767
0.1000,1.0000,0.1380,0.9310,1.8742,-0.7792,2.6534,0.1767
0.3000,0.0000,0.9310,0.9310,-2.0039,-0.7792,-1.2247,0.3901
0.3000,0.1000,0.9310,0.9310,-2.0039,-0.7792,-1.2247,0.3901
0.3000,0.2500,0.7305,0.9310,-1.1732,-0.7792,-0.3940,0.3901
0.3000,0.5000,0.5326,0.9310,-0.4701,-0.7792,0.3091,0.3901
0.3000,0.7500,0.2969,0.9310,0.4870,-0.7792,1.2662,0.3901
0.3000,1.0000,0.1380,0.9310,1.0742,-0.7792,1.8534,0.3901
0.6000,0.0000,0.9206,0.9310,-3.9174,-0.7792,-3.1382,0.9137
0.6000,0.1000,0.9206,0.9310,-3.9174,-0.7792,-3.1382,0.9137
0.6000,0.2500,0.7018,0.9310,-2.8602,-0.7792,-2.0810,0.9137
0.6000,0.5000,0.4245,0.9310,-2.1674,-0.7792,-1.3882,0.9137
0.6000,0.7500,0.1784,0.9310,-1.0529,-0.7792,-0.2737,0.9137
0.6000,1.0000,0.0430,0.9310,-0.6349,-0.7792,0.1443,0.9137
