adversary,avail,ccrR_incident,ccrR_exfil_incident,ccrR_net,ccr_incident,ccr_net
absent,1.0000,0.1380,0.1263,1.0742,0.9310,-0.7792
absent,0.7500,0.2969,0.2852,0.4870,0.9310,-0.7792
absent,0.5000,0.5326,0.5195,-0.4701,0.9310,-0.7792
absent,0.2500,0.7305,0.7083,-1.1732,0.9310,-0.7792
absent,0.0000,0.9310,0.9023,-2.0039,0.9310,-0.7792
forge,1.0000,0.0859,0.0547,1.2201,0.9310,-0.7792
forge,0.7500,0.1120,0.0690,1.1693,0.9310,-0.7792
forge,0.5000,0.1602,0.0911,0.9128,0.9310,-0.7792
forge,0.2500,0.2083,0.1172,0.7786,0.9310,-0.7792
forge,0.0000,0.2539,0.1224,0.5260,0.9310,-0.7792
replay,1.0000,0.0859,0.0547,1.2201,0.9310,-0.7792
replay,0.7500,0.1120,0.0690,1.1693,0.9310,-0.7792
replay,0.5000,0.1602,0.0911,0.9128,0.9310,-0.7792
replay,0.2500,0.2083,0.1172,0.7786,0.9310,-0.7792
replay,0.0000,0.2539,0.1224,0.5260,0.9310,-0.7792
